N8N_Key,N8N_Key_English_Form,Question_Label_Hebrew,Question_Label_English,Type,required_documents_en,required_documents_he
question_Ad2ZXW_eda95daa-e622-4fcb-98d6-3f0aa0649680,question_WNRM5Q_21cb2748-23e4-4b6f-acbd-1b0ee32c0afe,report_record_id,report_record_id,HIDDEN_FIELDS,,
question_Ad2ZXW_07088289-7dc1-4173-97cb-855bc6655b0a,question_WNRM5Q_7bdf1402-3d31-4855-bf97-88a1f48c912d,client_id,client_id,HIDDEN_FIELDS,,
question_Ad2ZXW_45f853b0-2044-45f0-bca8-4cb0db3c538a,question_WNRM5Q_7da15418-e79a-4265-9726-0f92bdd4a2e9,year,year,HIDDEN_FIELDS,,
question_Ad2ZXW_12245f33-980a-4def-8656-f87f7ed1f397,question_WNRM5Q_885e9fda-7bb7-4a09-af17-892ad4fe41fa,token,token,HIDDEN_FIELDS,,
question_Ad2ZXW_5cf54aa8-32b8-47cc-b2c0-a2bcddabb689,question_WNRM5Q_f154cc30-448c-4960-837a-b857542fa97a,full_name,full_name,HIDDEN_FIELDS,,
question_Ad2ZXW_64644761-68e7-45eb-aac2-18c5471941fa,question_WNRM5Q_dbe5baba-db73-4a05-bd58-eb953a3c308d,email,email,HIDDEN_FIELDS,,
question_vAekdl,question_R0oJPP,שם ושם משפחה,First and Last Name,INPUT_TEXT,,
question_K65baX,question_oyR7GM,אימייל,Email,INPUT_EMAIL,,
question_Lb7l6l,question_GzpJlz,מצב משפחתי בשנת המס,Marital status during the tax year,MULTIPLE_CHOICE,,
question_67Kv1P,question_J6lJA7,האם גרת ביישוב מזכה בשנת המס?,Did you live in a qualifying settlement during the tax year?,MULTIPLE_CHOICE,IF(YES): Residency_Cert (municipality residency certificate for the tax year),אם כן: אישור תושבות לשנת המס מהרשות המקומית.
question_7WKvJP,question_g0q7MK,שם היישוב,Settlement name,INPUT_TEXT,,
question_1ld8p1,question_OzXJGA,שם בן/בת הזוג,Spouse's name,INPUT_TEXT,,
question_J6p7MK,question_V0PMJl,האם היה שינוי בסטטוס המשפחתי (נישואין/גירושין/התאלמנות/פירוד רשמי) בשנת המס?,Was there a change in marital status during the tax year?,MULTIPLE_CHOICE,IF(YES): ID_Appendix (updated ID appendix; marriage/divorce/separation documents if relevant),"אם כן: ספח ת""ז מעודכן או תעודת נישואין/גירושין/פירוד רשמי (לפי הצורך)."
question_g0d2vD,question_P69XO0,פירוט + תאריך השינוי,Details + date of change,TEXTAREA,,
question_8KaOMz,question_487oro,האם יש לך ילדים?,Do you have children?,MULTIPLE_CHOICE,IF(YES): Child_ID_Appendix (updated ID appendix including child details),אם כן: ספח תעודת זהות עדכני כולל פרטי הילד/ה.
question_y62LzX,question_EXlJWL,האם נולד/ה או הצטרף/ה ילד/ה בשנת המס?,Was a child born or added to the family during the tax year?,MULTIPLE_CHOICE,IF(YES): Child_ID_Appendix (updated ID appendix including child details),אם כן: ספח תעודת זהות עדכני כולל פרטי הילד/ה.
question_XDJXzL,question_r6OdPL,תאריכי לידה של הילדים שנוספו בשנת המס,Birthdates of children added,TEXTAREA,,
question_0xBXaB,question_jyo7P9,האם יש ילדים בחינוך מיוחד?,Do you have children in special education?,MULTIPLE_CHOICE,IF(YES): Special_Ed_Approval (placement committee approval),אם כן: אישור ועדת השמה/ועדת שילוב עבור הילד (חינוך מיוחד).
question_8Ka0Zl,question_a64DYy,האם יש ילדים שבגינם מתקבלת קצבת נכות מביטוח לאומי?,Do you have children for whom you receive disability benefits?,MULTIPLE_CHOICE,IF(YES): Child_Disability_Approval (National Insurance certificate for child disability allowance),אם כן: אישור שנתי לשנת 2025 על תקבולי קצבת נכות מביטוח לאומי עבור הילד/ה
question_P69RpP,question_kyG76j,האם שילמת דמי מזונות בשנת המס?,Did you pay child support (alimony) during the tax year?,MULTIPLE_CHOICE,,
question_zqylLM,question_2eAJPb,האם היית שכיר/ה בשנת המס?,Were you employed as a salaried employee during the tax year?,MULTIPLE_CHOICE,IF(YES): Form_106 (one per employer listed in Employer list – yours),אם כן: טופס 106 לשנת 2025 מכל המעסיקים (אחד לכל מעסיק שצוין).
question_5zjRMZ,question_xpDPY9,רשימת מעסיקים – שלך,Employer list,TEXTAREA,Form_106 (one per employer listed in this list),טופס 106 לשנת 2025 מכל המעסיקים (אחד לכל מעסיק שצוין).
question_d6arvd,question_ZNOzav,האם בן/בת הזוג היה/הייתה שכיר/ה בשנת המס?,Was your spouse employed as a salaried employee?,MULTIPLE_CHOICE,IF(YES): Form_106_Spouse (one per employer listed in Employer list – spouse),אם כן: טופס 106 לשנת 2025 מכל המעסיקים של בן/בת הזוג (אחד לכל מעסיק שצוין).
