question_num,section,he_label,en_label,tally_key_he,tally_key_en,type,conditional_on,template_ids,per_item
1,personal_info,שם ושם משפחה,First and Last Name,6c605369-befa-471e-beef-5002b5cab9a0,42f73f81-dc26-4e78-9147-0097463518c9,INPUT_TEXT,,,
2,personal_info,אימייל,Email,1edbb7d3-9bea-472c-bccf-3c990cde0b7e,30ad6074-8428-411a-9b0f-f26a972af1c5,INPUT_EMAIL,,,
3,personal_info,טלפון,Phone Number,805a8bd6-88bb-48a8-b612-a0254293e29c,7aa08e39-61e8-4ee6-ab52-0efae9e3615f,INPUT_PHONE_NUMBER,,,
4,family_status,האם נשוי/אה,Were you married,1943368e-560a-4870-8787-2f009209ae24,f084a961-1c0d-4d85-bf6e-48d3d1e297f2,MULTIPLE_CHOICE,,,
5,family_status,שם בן/בת הזוג,Spouse's name,29fcdc51-ebaf-482e-bc52-487f965a0814,8f74464e-e49b-4ad8-80ab-f9062305ce7a,INPUT_TEXT,Q4=כן,,
6,business_capital,חשבון בנק עסקי?,Business bank account?,d825bdd2-889e-4deb-82f0-c8d0ea00231f,189dcc1a-3e3b-456c-94fc-9f1aede3479e,MULTIPLE_CHOICE,,,
7,business_capital,שם הבנק העסקי,Business bank names,50bac67d-0b12-4747-8e14-9dfe379ea57b,c07858b4-9308-40ee-94db-2936eedf098d,TEXTAREA,Q6=כן,CS-T001,true
8,business_capital,כרטיסי אשראי עסקיים?,Business credit cards?,0db691fb-419b-4890-b0f4-553f7ccd3477,5fc523f9-a375-4e4b-bc6c-02c70a6097d3,MULTIPLE_CHOICE,,,
9,business_capital,שם חברת האשראי,Credit card company,5653ee04-2973-4468-ab44-f8bed7477d8e,12485392-c7c3-4e25-944a-21b4b549c323,TEXTAREA,Q8=כן,CS-T002,true
10,business_capital,בעלי מניות?,Hold shares?,c3b90d17-40e1-4b3c-b57f-c04309fecd09,f7b40aef-9362-442b-b60b-df2415cac890,MULTIPLE_CHOICE,,,
11,business_capital,שמות החברות,Company names,27272c19-c01c-4ee1-ab6e-7d662a8455e1,450efd2e-f758-4b1f-b96f-4531d0563bd1,TEXTAREA,Q10=כן,CS-T003,true
12,real_estate,נכסי מקרקעין?,Own real estate?,51571c2e-fe44-4d4f-b4de-689656cfd5ed,6016a347-c707-4d53-8457-df2fd67e7264,MULTIPLE_CHOICE,,,
